Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,19.00,19.00,18.51,18.58,419900,18.307288
2015-10-08,18.610001,18.99,18.59,18.950001,513300,18.671858
2015-10-07,18.200001,18.690001,18.10,18.690001,627500,18.415674
2015-10-06,18.27,18.41,18.08,18.17,651300,17.903306
2015-10-05,17.83,18.290001,17.65,18.290001,992700,18.021546
2015-10-02,17.389999,17.809999,17.02,17.809999,397300,17.54859
2015-10-01,17.52,17.684999,17.25,17.559999,373100,17.302259
2015-09-30,17.440001,17.51,17.110001,17.459999,554100,17.203726
2015-09-29,17.700001,17.84,17.32,17.35,487300,17.095342
2015-09-28,17.82,17.92,17.450001,17.690001,514000,17.430352
2015-09-25,18.40,18.610001,18.190001,18.190001,494900,17.696389
2015-09-24,18.32,18.362,18.040001,18.27,497500,17.774218
2015-09-23,18.34,18.610001,18.27,18.41,388100,17.910418
2015-09-22,18.77,18.98,18.209999,18.26,828300,17.764489
2015-09-21,19.18,19.27,18.969999,19.00,380400,18.484408
2015-09-18,19.18,19.43,18.860001,19.09,1388800,18.571965
2015-09-17,19.48,19.74,19.120001,19.41,566500,18.883281
2015-09-16,18.99,19.60,18.98,19.530001,492100,19.000026
2015-09-15,19.09,19.16,18.700001,19.01,530100,18.494136
2015-09-14,19.139999,19.219999,18.969999,19.10,460600,18.581694
2015-09-11,18.66,19.16,18.559999,19.15,527900,18.630337
2015-09-10,18.25,18.74,18.200001,18.700001,494800,18.192549
2015-09-09,18.76,18.799999,18.280001,18.299999,449300,17.803402
2015-09-08,18.25,18.76,18.17,18.629999,611000,18.124447
2015-09-04,18.17,18.50,18.00,18.01,664800,17.521273
2015-09-03,18.40,18.59,18.280001,18.40,875700,17.900689
2015-09-02,18.290001,18.511999,18.049999,18.41,585600,17.910418
2015-09-01,18.16,18.48,17.91,18.08,698200,17.589373
2015-08-31,18.870001,19.08,18.360001,18.50,1026000,17.997976
2015-08-28,18.99,19.049999,18.85,18.959999,476300,18.445492
2015-08-27,18.82,19.200001,18.459999,19.01,763800,18.494136
2015-08-26,18.459999,18.74,18.110001,18.700001,539500,18.192549
2015-08-25,19.00,19.07,18.120001,18.16,1065200,17.667202
2015-08-24,18.459999,18.559999,17.549999,18.559999,1567900,18.056347
2015-08-21,19.23,19.26,18.68,19.190001,820300,18.669252
2015-08-20,19.629999,19.870001,19.405001,19.43,476700,18.902739
2015-08-19,20.16,20.200001,19.799999,19.84,802100,19.301613
2015-08-18,20.049999,20.370001,19.92,20.32,834000,19.768587
2015-08-17,19.75,20.00,19.50,20.00,568300,19.457271
2015-08-14,19.49,19.85,19.450001,19.85,502800,19.311342
2015-08-13,19.57,19.83,18.33,19.549999,1503100,19.019482
2015-08-12,19.93,20.18,19.729,20.059999,673200,19.515642
2015-08-11,19.549999,20.17,19.530001,20.09,858500,19.544829
2015-08-10,19.84,19.93,19.57,19.709999,710500,19.17514
2015-08-07,19.799999,19.93,19.559999,19.85,444900,19.311342
2015-08-06,19.950001,20.209999,19.299999,19.92,924300,19.379442
2015-08-05,20.52,20.628,19.90,20.09,853100,19.544829
2015-08-04,20.67,20.85,20.40,20.48,440300,19.924245
2015-08-03,20.690001,20.90,20.360001,20.709999,462900,20.148003
2015-07-31,20.639999,20.889999,20.639999,20.73,447700,20.167461
2015-07-30,21.16,21.16,20.51,20.610001,532600,20.050718
2015-07-29,20.68,21.059999,20.35,20.90,400200,20.332848
2015-07-28,20.84,20.969999,20.57,20.74,373500,20.17719
2015-07-27,20.65,21.01,20.48,20.83,433600,20.264748
2015-07-24,20.959999,21.09,20.66,20.799999,698000,20.235561
2015-07-23,22.040001,22.209999,20.809999,21.040001,1152200,20.46905
2015-07-22,22.049999,22.261,22.00,22.07,496300,21.471098
2015-07-21,22.129999,22.495001,22.02,22.09,442700,21.490556
2015-07-20,22.379999,22.450001,22.10,22.18,715100,21.578114
2015-07-17,22.469999,22.66,22.280001,22.389999,697800,21.782414
2015-07-16,22.35,22.709999,22.23,22.50,567700,21.88943
2015-07-15,22.129999,22.35,21.959999,22.299999,491900,21.694857
2015-07-14,21.99,22.360001,21.98,22.27,522000,21.665672
2015-07-13,22.18,22.379999,21.860001,22.07,605600,21.471098
2015-07-10,21.75,22.08,21.66,22.030001,592900,21.432185
2015-07-09,21.879999,21.905001,21.42,21.700001,610100,21.11114
2015-07-08,21.719999,21.889999,21.58,21.75,626000,21.159782
2015-07-07,21.93,22.129999,21.790001,21.91,601700,21.31544
2015-07-06,21.65,22.10,21.530001,21.92,1112800,21.325169
2015-07-02,21.969999,22.040001,21.73,21.860001,1110300,21.266798
