Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,9.58,9.60,9.28,9.42,59100,9.42
2015-10-08,9.44,9.64,9.276,9.55,97500,9.55
2015-10-07,9.00,9.48,8.92,9.47,547100,9.47
2015-10-06,8.31,9.00,8.228,9.00,166600,9.00
2015-10-05,8.25,8.43,8.18,8.35,65000,8.35
2015-10-02,8.28,8.44,8.05,8.22,77200,8.22
2015-10-01,7.97,8.45,7.79,8.45,113600,8.45
2015-09-30,7.93,8.55,7.80,7.80,918000,7.80
2015-09-29,8.00,8.30,7.90,8.04,87400,8.04
2015-09-28,8.03,8.23,7.88,8.07,81100,8.07
2015-09-25,8.20,8.31,7.915,8.28,73600,8.28
2015-09-24,7.20,8.32,7.20,8.30,157900,8.30
2015-09-23,7.44,7.57,7.17,7.42,88900,7.42
2015-09-22,7.10,7.44,6.862,7.27,71800,7.27
2015-09-21,6.76,7.49,6.74,7.23,327100,7.23
2015-09-18,7.30,7.39,6.60,6.60,348500,6.60
2015-09-17,7.29,7.40,7.14,7.30,63600,7.30
2015-09-16,7.16,7.34,7.05,7.30,56600,7.30
2015-09-15,7.10,7.26,7.10,7.22,31200,7.22
2015-09-14,7.20,7.23,7.02,7.12,45900,7.12
2015-09-11,6.95,7.38,6.50,7.23,48600,7.23
2015-09-10,6.91,7.30,6.91,7.30,31000,7.30
2015-09-09,7.15,7.34,7.00,7.11,40400,7.11
2015-09-08,7.86,8.72,6.68,7.15,116200,7.15
2015-09-04,7.00,7.00,6.48,6.66,85300,6.66
2015-09-03,6.85,7.134,6.56,6.98,108600,6.98
2015-09-02,6.66,6.88,6.53,6.83,94100,6.83
2015-09-01,6.65,6.98,6.12,6.58,130300,6.58
2015-08-31,7.07,7.365,6.65,6.81,68000,6.81
2015-08-28,7.02,7.25,6.76,7.08,92000,7.08
2015-08-27,7.30,7.30,6.59,6.76,161100,6.76
2015-08-26,7.76,7.76,7.10,7.24,48300,7.24
2015-08-25,7.78,7.956,7.30,7.60,102000,7.60
2015-08-24,7.44,8.08,7.064,7.57,278500,7.57
2015-08-21,7.98,8.18,7.77,7.83,17800,7.83
2015-08-20,8.238,8.42,8.10,8.19,32400,8.19
2015-08-19,8.168,8.48,8.05,8.31,120100,8.31
2015-08-18,7.70,8.49,7.652,8.15,53300,8.15
2015-08-17,7.60,8.03,7.59,7.84,51300,7.84
2015-08-14,7.48,7.93,7.39,7.90,71700,7.90
2015-08-13,7.54,7.68,7.08,7.61,103000,7.61
2015-08-12,7.485,7.70,7.32,7.62,23400,7.62
2015-08-11,7.40,7.58,7.14,7.50,33100,7.50
2015-08-10,7.508,7.535,7.37,7.46,21300,7.46
2015-08-07,7.85,7.85,7.422,7.44,21600,7.44
2015-08-06,7.56,7.65,7.24,7.56,78000,7.56
2015-08-05,7.74,7.93,7.00,7.16,55200,7.16
2015-08-04,7.02,7.71,7.00,7.41,66000,7.41
2015-08-03,7.40,7.40,6.65,7.06,87200,7.06
2015-07-31,6.94,7.45,6.94,7.30,129900,7.30
2015-07-30,6.83,7.14,6.70,7.10,51700,7.10
2015-07-29,6.27,6.70,6.27,6.69,198100,6.69
2015-07-28,6.78,6.91,6.09,6.56,99900,6.56
2015-07-27,6.70,7.07,6.60,6.76,87900,6.76
2015-07-24,7.04,7.06,6.561,6.72,83200,6.72
2015-07-23,7.47,7.95,6.90,6.97,272300,6.97
2015-07-22,7.67,7.94,7.03,7.06,98300,7.06
2015-07-21,8.27,8.45,7.52,7.53,372600,7.53
2015-07-20,7.99,8.29,7.99,8.23,56200,8.23
2015-07-17,8.27,8.33,8.13,8.20,43900,8.20
2015-07-16,8.60,8.60,8.19,8.31,65900,8.31
2015-07-15,8.45,8.65,8.27,8.32,53000,8.32
2015-07-14,8.35,8.54,8.35,8.52,27100,8.52
2015-07-13,8.36,8.566,8.28,8.36,63300,8.36
2015-07-10,8.16,8.36,8.15,8.29,23100,8.29
2015-07-09,8.15,8.25,8.15,8.25,16100,8.25
2015-07-08,8.00,8.11,7.94,8.11,24700,8.11
2015-07-07,8.05,8.20,7.85,7.98,49100,7.98
2015-07-06,8.07,8.30,8.01,8.05,36600,8.05
2015-07-02,8.25,8.65,8.07,8.25,95500,8.25
2015-07-01,8.51,8.596,7.91,8.06,460100,8.06
2015-06-30,8.80,8.879,8.50,8.59,159100,8.59
2015-06-29,8.61,9.00,8.407,8.55,205400,8.55
2015-06-26,8.00,10.09,7.76,8.70,4779100,8.70
