Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,22.559999,22.67,22.41,22.610001,35400,22.517222
2015-10-08,22.139999,22.530001,22.139999,22.49,55600,22.397714
2015-10-07,21.799999,22.25,21.799999,22.25,62000,22.158699
2015-10-06,21.91,21.98,21.440001,21.629999,43300,21.541242
2015-10-05,21.68,21.99,21.68,21.99,38900,21.899766
2015-10-02,21.41,21.58,20.889999,21.549999,66700,21.46157
2015-10-01,21.57,21.60,21.200001,21.58,49900,21.491448
2015-09-30,21.450001,21.58,21.09,21.49,56300,21.401817
2015-09-29,21.24,21.40,21.00,21.25,28200,21.162802
2015-09-28,21.299999,21.57,21.030001,21.23,43100,21.142884
2015-09-25,21.99,22.309999,21.33,21.370001,150600,21.282311
2015-09-24,21.040001,21.790001,21.01,21.719999,78800,21.630873
2015-09-23,21.08,21.370001,20.959999,21.209999,23400,21.122966
2015-09-22,21.08,21.17,20.700001,21.059999,33300,20.973581
2015-09-21,21.33,21.43,21.040001,21.23,36300,21.142884
2015-09-18,21.10,21.610001,20.92,21.09,232200,21.003459
2015-09-17,21.85,22.07,21.360001,21.41,43900,21.322146
2015-09-16,21.879999,21.940001,21.690001,21.92,42600,21.830053
2015-09-15,21.389999,21.90,21.389999,21.82,59800,21.730463
2015-09-14,21.35,21.58,21.16,21.43,81400,21.342064
2015-09-11,20.99,21.43,20.99,21.34,34600,21.252433
2015-09-10,20.73,21.34,20.68,21.10,29400,21.013418
2015-09-09,20.93,21.17,20.709999,20.75,38600,20.664854
2015-09-08,20.90,20.99,20.75,20.799999,62900,20.714648
2015-09-04,20.41,20.83,20.41,20.549999,31400,20.465674
2015-09-03,20.90,21.10,20.65,20.68,49400,20.595142
2015-09-02,20.33,20.84,20.16,20.82,72200,20.734566
2015-09-01,20.469999,20.559999,19.92,20.129999,456200,20.047397
2015-08-31,20.290001,20.84,20.26,20.82,44000,20.734566
2015-08-28,20.33,20.540001,20.110001,20.389999,37500,20.306331
2015-08-27,20.35,20.450001,20.059999,20.370001,61200,20.286414
2015-08-26,20.190001,20.290001,19.690001,20.25,69600,20.166906
2015-08-25,20.34,20.34,19.58,19.84,86600,19.758588
2015-08-24,19.84,20.620001,18.799999,19.75,176000,19.668957
2015-08-21,20.49,20.75,20.049999,20.700001,91900,20.61506
2015-08-20,21.51,21.780001,20.809999,20.860001,48900,20.774403
2015-08-19,21.700001,21.969999,21.610001,21.65,40000,21.561161
2015-08-18,21.700001,21.870001,21.49,21.799999,58500,21.710545
2015-08-17,21.370001,21.83,21.299999,21.74,34000,21.650791
2015-08-14,21.120001,21.51,21.059999,21.51,31200,21.421736
2015-08-13,20.700001,21.469999,20.50,21.200001,407900,21.113008
2015-08-12,21.139999,21.24,20.65,20.809999,57800,20.724607
2015-08-11,21.32,21.42,21.08,21.27,38900,21.182721
2015-08-10,21.389999,21.610001,21.389999,21.49,73800,21.401817
2015-08-07,21.459999,21.639999,21.24,21.34,43300,21.252433
2015-08-06,21.690001,21.959999,21.530001,21.59,53500,21.501407
2015-08-05,21.620001,21.799999,21.559999,21.700001,38800,21.610956
2015-08-04,21.32,21.690001,21.32,21.610001,44800,21.521326
2015-08-03,21.469999,21.620001,21.200001,21.49,52200,21.302228
2015-07-31,21.33,21.690001,21.25,21.459999,62200,21.27249
2015-07-30,21.299999,21.58,21.26,21.34,72100,21.153539
2015-07-29,21.42,21.57,21.26,21.43,72200,21.242753
2015-07-28,21.809999,21.809999,21.27,21.469999,75500,21.282403
2015-07-27,21.120001,21.68,21.049999,21.559999,58200,21.371616
